models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
Qwen2.5-3B-Instruct,arc-c,0.842809365,287.7892977,88.82274247,0.2,0.75
Qwen2.5-3B-Instruct,arc-c,0.839464883,291.3377926,97.87625418,0.4,0.75
Qwen2.5-3B-Instruct,arc-c,0.836120401,304.7926421,101.2173913,0.6,1
Qwen2.5-3B-Instruct,arc-c,0.822742475,297.8160535,101.5752508,0.2,1
Qwen2.5-3B-Instruct,arc-c,0.819397993,293.4381271,97.68896321,0.2,0.5
Qwen2.5-3B-Instruct,arc-c,0.819397993,293.3812709,95.38795987,0.8,0.5
Qwen2.5-3B-Instruct,arc-c,0.81270903,294.4615385,99.01672241,0.4,0.25
Qwen2.5-3B-Instruct,arc-c,0.81270903,295.7859532,101.0869565,0.4,1
Qwen2.5-3B-Instruct,arc-c,0.81270903,297.8996656,100.0668896,0.6,0.75
Qwen2.5-3B-Instruct,arc-c,0.809364548,300.2374582,100.1404682,0.4,0.5
Qwen2.5-3B-Instruct,arc-c,0.802675585,298.2341137,101.2809365,0.2,0.25
Qwen2.5-3B-Instruct,arc-c,0.802675585,298.4882943,101.5351171,0.6,0.25
Qwen2.5-3B-Instruct,arc-c,0.799331104,298.5117057,100.8561873,0.6,0.5
Qwen2.5-3B-Instruct,arc-c,0.799331104,277.3478261,86.59866221,0.8,0.75
Qwen2.5-3B-Instruct,arc-c,0.795986622,297.4448161,96.93311037,0.8,0.25
Qwen2.5-3B-Instruct,arc-c,0.759197324,265.458194,98.48494983,0.8,1
Qwen2.5-3B-Instruct,math500,0.6525,977.8675,120.8,0.4,1
Qwen2.5-3B-Instruct,math500,0.645,936.765,127.0475,0.8,0.75
Qwen2.5-3B-Instruct,math500,0.64,866.87,116.0425,0.4,0.5
Qwen2.5-3B-Instruct,math500,0.6325,832.9225,123.04,0.6,0.25
Qwen2.5-3B-Instruct,math500,0.6325,1030.8,115.45,0.6,0.75
Qwen2.5-3B-Instruct,math500,0.63,935.9025,123.225,0.4,0.25
Qwen2.5-3B-Instruct,math500,0.63,863.1125,123.8775,0.4,0.75
Qwen2.5-3B-Instruct,math500,0.6275,985.73,122.005,0.2,0.25
Qwen2.5-3B-Instruct,math500,0.6275,947.8375,123.575,0.2,0.5
Qwen2.5-3B-Instruct,math500,0.62,900.1275,123.9225,0.6,0.5
Qwen2.5-3B-Instruct,math500,0.61,848.5275,122.93,0.2,0.75
Qwen2.5-3B-Instruct,math500,0.61,910.4875,131.7875,0.8,1
Qwen2.5-3B-Instruct,math500,0.6075,966.9725,125.585,0.2,1
Qwen2.5-3B-Instruct,math500,0.6075,863.6125,125.595,0.8,0.5
Qwen2.5-3B-Instruct,math500,0.6025,978.84,124.0775,0.8,0.25
Qwen2.5-3B-Instruct,math500,0.595,951.92,120.68,0.6,1
Qwen2.5-3B-Instruct,openbookqa,0.772,259.844,82.088,0.4,0.5
Qwen2.5-3B-Instruct,openbookqa,0.77,259.558,79.206,0.2,0.5
Qwen2.5-3B-Instruct,openbookqa,0.764,256.718,77.728,0.2,0.75
